ANO,MES,Total,Weighted_average
2020,12,1868805,416.6579345815353
2002,9,1093109,295.5760799844002
2004,2,994456,365.2582754996168
2011,4,3652619,249.97987797016086
2018,5,3423203,331.38624694217003
2021,12,2421438,490.7972359913134
2011,12,3658163,316.2801315652603
2015,11,4235254,348.56721906458694
2011,8,4789194,244.74449555850435
2016,10,3143825,399.0537833552605
2021,7,2141195,466.48251672172387
2009,10,1057652,312.20057104427127
2015,9,3674112,367.0267554014
2009,9,1054123,267.0018386443653
2013,7,4386910,346.6193219678774
2017,12,2745175,430.0396628967864
2014,9,4660215,310.12807810438926
2020,4,509942,288.1660188959438
2003,5,1075204,345.4054853313374
2009,6,1085970,265.16587230092864
2013,4,5379835,260.93998744595183
2017,9,3419982,373.19697080471735
2009,5,1189920,293.89768624585116
2014,3,4291257,331.1065347788836
2015,10,3737626,373.9033436422943
2021,3,1222017,345.46018554902906
2016,6,3487816,321.8786593949194
2013,11,5457715,317.5510391702171
2005,7,1033439,406.8984231315367
2007,4,1681049,222.21735874183466
2008,7,1200280,535.8982852334417
2011,5,4167279,263.81782688060525
2013,5,4502043,287.34593104089083
2021,2,1443330,410.3469976746148
2011,7,4986736,223.41212643394684
2006,9,1408463,384.9097243069229
2010,8,3541842,247.36655199206965
2016,12,2839457,363.79598830046314
2014,2,3772074,349.4447759286049
2012,11,3867037,366.56716401033174
2016,1,4106748,325.79210446561103
2016,4,3483048,306.3281952124028
2020,1,3400662,369.4807509250114
2003,7,1222330,359.55089063176047
2014,6,3651053,303.0718189493569
2003,4,1007562,319.83605457790986
2004,9,1191945,424.441580950373
2004,11,1263059,457.6943109750395
2002,2,1150345,237.47469688685362
2011,6,4175795,271.3811825491909
2017,4,2974308,323.5203656408878
2019,4,2639828,445.9604039286981
2004,12,1182228,445.86842216444626
2010,10,4085497,270.4568593472534
2015,3,5382796,269.7610808271351
2010,2,1305297,253.71114055076706
2010,3,1548027,275.4378073708696
2011,11,4218568,322.30487694788354
2009,7,1283062,316.9550389518152
2019,9,3427642,408.71503612780117
2020,8,1519742,324.7739762567189
2012,1,4156341,298.08368385476655
2006,3,1753343,332.7010951925865
2022,1,2113321,478.3422298390665
2018,9,3235904,384.7987539984682
2008,5,1099302,522.7961697513513
2006,1,1301457,469.01661262683587
2007,5,1873309,226.59636106295238
2008,4,1177353,426.8985645650114
2022,5,2274789,682.5961177880541
2021,1,1858809,360.73626728403696
2002,7,1311443,284.8281974367304
2006,4,1451199,364.2843278332867
2002,4,1158974,211.15052857053624
2015,7,3908848,349.82736717029104
2019,12,2585896,436.53370166311555
2012,2,3367085,300.70316233281056
2007,11,1487857,336.430030897163
2018,7,3218317,362.32617508552676
2005,12,1026765,445.37814515561104
2008,3,1112431,391.8407359964603
2020,7,1341775,263.0693502663789
2014,11,5029709,340.1733139012096
